update,step,reward,batch_mean_reward,loss,mean_q,mean_target_q,avg_leakage_rate,lambda_penalty,replay_size,avg_inspection_rate,avg_target_sampling_rate,avg_attack_intensity,avg_fpr,avg_fnr,tp,tn,fp,fn
28,896,-2.0,-2.0749079436063766,11.38427448272705,-5.001620292663574,-1.6897037029266357,0.0078125,9.987617005813942,896.0,0.99675,1.0,0.00503125,0.0,0.0078125,160,31839,0,1
29,928,-1.7999999523162842,-1.9583332650363445,12.666366577148438,-5.257127285003662,-1.7340059280395508,0.0,9.987117005813941,928.0,0.983375,0.9791666325181723,0.0004375,0.0,0.0,14,31986,0,0
30,960,-1.4479999542236328,-2.1129764281213284,11.221824645996094,-5.057257652282715,-1.7405831813812256,0.03125,9.98817950581394,960.0,0.913625,0.9019999988377094,0.00284375,0.0,0.03125,90,31909,0,1
31,992,-2.0,-1.8917499966919422,11.56633186340332,-5.206362724304199,-1.8297748565673828,0.0,9.98767950581394,992.0,0.9444375,0.9458749983459711,0.0,0.0,0.0,0,32000,0,0
32,1024,-1.9733339548110962,-1.9572916850447655,11.735105514526367,-5.175410270690918,-1.7810012102127075,0.0,9.98717950581394,1024.0,0.9813125,0.9786458425223827,0.00175,0.0,0.0,56,31944,0,0
33,1056,-2.0,-1.739583145827055,10.485979080200195,-4.927218437194824,-1.7355647087097168,0.0,9.986679505813939,1056.0,0.88146875,0.8697915729135275,0.003,0.0,0.0,96,31904,0,0
34,1088,-1.899999976158142,-1.9480207040905952,10.865957260131836,-4.900533199310303,-2.084453582763672,0.0,9.986179505813938,1088.0,0.9768125,0.9740103520452976,0.00228125,0.0,0.0,73,31927,0,0
35,1120,-2.0,-1.8874997720122337,10.470113754272461,-4.937621593475342,-1.737806797027588,0.0,9.985679505813938,1120.0,0.94715625,0.9437498860061169,0.0016875,0.0,0.0,54,31946,0,0
36,1152,-0.9533339738845825,-1.911250039935112,9.084604263305664,-4.613709449768066,-1.6737114191055298,0.0,9.985179505813937,1152.0,0.96678125,0.955625019967556,0.00409375,0.0,0.0,131,31869,0,0
37,1184,-1.7766660451889038,-1.8038543350994587,9.774497985839844,-4.889448165893555,-1.7912575006484985,0.0,9.984679505813936,1184.0,0.9024375,0.9019271675497293,0.00175,0.0,0.0,56,31944,0,0
38,1216,-2.0,-1.9213540591299534,9.527687072753906,-4.923845291137695,-1.8658559322357178,0.0,9.984179505813936,1216.0,0.95975,0.9606770295649767,0.02771875,0.0,0.0,887,31113,0,0
39,1248,-2.0,-2.0,8.4754056930542,-4.659853935241699,-1.7915325164794922,0.0,9.983679505813935,1248.0,1.0,1.0,0.04996875,0.0,0.0,1599,30401,0,0
40,1280,-2.0,-2.0,8.551864624023438,-4.693853378295898,-1.8090324401855469,0.0,9.983179505813935,1280.0,1.0,1.0,0.05059375,0.0,0.0,1619,30381,0,0
41,1312,-2.0,-1.939583208411932,9.131648063659668,-4.7709736824035645,-1.781014323234558,0.0,9.982679505813934,1312.0,0.97296875,0.969791604205966,0.03025,0.0,0.0,968,31032,0,0
42,1344,-2.0,-1.9843749962747097,8.396995544433594,-4.667515754699707,-1.797975778579712,0.0,9.982179505813933,1344.0,0.99246875,0.9921874981373549,0.02378125,0.0,0.0,761,31239,0,0
43,1376,-2.0,-1.9557290822267532,8.221583366394043,-4.619548797607422,-1.7869096994400024,0.0,9.981679505813933,1376.0,0.9823125,0.9778645411133766,0.0065,0.0,0.0,208,31792,0,0
44,1408,-1.8666659593582153,-1.9093748293817043,8.265342712402344,-4.737649917602539,-1.8904566764831543,0.0,9.981179505813932,1408.0,0.9571875,0.9546874146908522,0.0,0.0,0.0,0,32000,0,0
45,1440,-1.5466666221618652,-1.8274997882544994,7.723006248474121,-4.580631256103516,-1.8357481956481934,0.0,9.980679505813931,1440.0,0.93259375,0.9137498941272497,0.0305625,0.0,0.0,978,31022,0,0
46,1472,-2.0,-1.9303123317658901,8.284859657287598,-4.672183990478516,-1.842145562171936,0.0,9.98017950581393,1472.0,0.969625,0.9651561658829451,0.02046875,0.0,0.0,655,31345,0,0
47,1504,-1.5666660070419312,-1.850728914141655,7.2898383140563965,-4.579986572265625,-1.8950791358947754,0.0,9.97967950581393,1504.0,0.93546875,0.9253644570708275,0.026625,0.0,0.0,852,31148,0,0
48,1536,-2.0,-1.9604165628552437,6.814971923828125,-4.429505825042725,-1.8577001094818115,0.0,9.97917950581393,1536.0,0.9786875,0.9802082814276218,0.0270625,0.0,0.0,866,31134,0,0
49,1568,-2.0,-1.9341665208339691,6.675590515136719,-4.3767499923706055,-1.828195333480835,0.0,9.978679505813929,1568.0,0.97171875,0.9670832604169846,0.0196875,0.0,0.0,630,31370,0,0
50,1600,-2.0,-1.8833331428468227,6.120986461639404,-4.231191635131836,-1.8232295513153076,0.0,9.978179505813928,1600.0,0.94384375,0.9416665714234114,0.031,0.0,0.0,992,31008,0,0
51,1632,-2.0,-1.9683333337306976,6.033546447753906,-4.274595260620117,-1.8621433973312378,0.0,9.977679505813928,1632.0,0.981375,0.9841666668653488,0.00253125,0.0,0.0,81,31919,0,0
52,1664,-1.3766666650772095,-2.280142802745104,5.749705791473389,-4.202974319458008,-1.8738083839416504,0.03125,9.978742005813928,1664.0,0.98403125,0.9857291672378778,0.00203125,0.0,0.03125,64,31935,0,1
53,1696,-2.0,-2.1335807405412197,5.599496364593506,-4.1918253898620605,-1.8485219478607178,0.015625,9.979023255813928,1696.0,0.98015625,0.9903906267136335,0.0025625,0.0,0.015625,81,31918,0,1
