step,reward,actual_inspection_rate,target_sampling_rate,attack_intensity,fpr,fnr,avg_sq,tp,tn,fp,fn
81,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
82,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
83,-2.0,1.0,1.0,0.014,0.0,0.0,120.694,14,986,0,0
84,-2.0,1.0,1.0,0.006,0.0,0.0,99.726,6,994,0,0
85,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
86,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
87,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
88,-2.0,1.0,1.0,0.022,0.0,0.0,141.662,22,978,0,0
89,-2.0,1.0,1.0,0.008,0.0,0.0,104.968,8,992,0,0
90,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
91,-2.0,1.0,1.0,0.013,0.0,0.0,118.073,13,987,0,0
92,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
93,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
94,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
95,-2.0,1.0,1.0,0.013,0.0,0.0,118.073,13,987,0,0
96,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
97,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
98,-2.0,1.0,1.0,0.006,0.0,0.0,99.726,6,994,0,0
99,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
100,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
101,-2.0,1.0,1.0,0.006,0.0,0.0,99.726,6,994,0,0
102,-2.0,1.0,1.0,0.014,0.0,0.0,120.694,14,986,0,0
103,-2.0,1.0,1.0,0.008,0.0,0.0,104.968,8,992,0,0
104,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
105,-2.0,1.0,1.0,0.007,0.0,0.0,102.347,7,993,0,0
106,-2.0,1.0,1.0,0.007,0.0,0.0,102.347,7,993,0,0
107,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
108,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
109,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
110,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
111,-2.0,1.0,1.0,0.006,0.0,0.0,99.726,6,994,0,0
112,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
113,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
114,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
115,-2.0,1.0,1.0,0.013,0.0,0.0,118.073,13,987,0,0
116,-2.0,1.0,1.0,0.013,0.0,0.0,118.073,13,987,0,0
117,-2.0,1.0,1.0,0.013,0.0,0.0,118.073,13,987,0,0
118,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
119,-2.0,1.0,1.0,0.014,0.0,0.0,120.694,14,986,0,0
120,-2.0,1.0,1.0,0.006,0.0,0.0,99.726,6,994,0,0
121,-2.0,1.0,1.0,0.006,0.0,0.0,99.726,6,994,0,0
122,-2.0,1.0,1.0,0.014,0.0,0.0,120.694,14,986,0,0
123,-2.0,1.0,1.0,0.004,0.0,0.0,94.484,4,996,0,0
124,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
125,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
126,-2.0,1.0,1.0,0.006,0.0,0.0,99.726,6,994,0,0
127,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
128,-2.0,1.0,1.0,0.008,0.0,0.0,104.968,8,992,0,0
129,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
130,-2.0,1.0,1.0,0.008,0.0,0.0,104.968,8,992,0,0
131,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
132,-2.0,1.0,1.0,0.007,0.0,0.0,102.347,7,993,0,0
