packet_id,is_malware,was_dropped,latency_ns
0,0,0,75870
1,0,0,21819
2,0,0,20797
3,0,0,19087
4,0,0,19415
5,0,0,18771
6,0,0,19003
7,0,0,17868
8,0,0,17770
9,0,0,17918
10,0,0,17850
11,0,0,18651
12,0,0,18327
13,0,0,18751
14,0,0,18631
15,0,0,18199
16,0,0,18154
17,0,0,18111
18,0,0,18948
19,0,0,18255
20,0,0,18736
21,0,0,18780
22,0,0,18591
23,0,0,18207
24,0,0,18032
25,0,0,17611
26,0,0,18524
27,0,0,18220
28,0,0,18296
29,0,0,18148
30,0,0,18311
31,0,0,18649
32,0,0,18623
33,0,0,17869
34,0,0,18495
35,0,0,20230
36,0,0,18054
37,0,0,17956
38,0,0,18627
39,0,0,18837
40,0,0,18308
41,0,0,18241
42,0,0,18821
43,0,0,18405
44,0,0,17474
45,0,0,18211
46,0,0,17897
47,0,0,17744
48,0,0,17891
49,0,0,17747
50,0,0,17942
51,0,0,18397
52,0,0,17947
53,0,0,17363
54,0,0,18710
55,0,0,17942
56,0,0,17886
57,0,0,18095
58,0,0,17945
59,0,0,18171
60,0,0,17698
61,0,0,17833
62,0,0,17602
63,0,0,17536
64,0,0,17812
65,0,0,17924
66,0,0,17559
67,0,0,17392
68,0,0,17914
69,0,0,17171
70,0,0,17744
71,0,0,17398
72,0,0,17286
73,0,0,17592
74,0,0,18064
75,0,0,18162
76,0,0,17504
77,0,0,17264
78,0,0,17236
79,0,0,17757
80,0,0,17168
81,0,0,17447
82,0,0,17424
83,0,0,17277
84,0,0,17118
85,0,0,17356
86,0,0,17796
87,0,0,18094
88,0,0,17141
89,0,0,18126
90,0,0,17646
91,0,0,17189
92,0,0,17379
93,0,0,17366
94,0,0,17377
95,0,0,33396
96,0,0,21585
97,0,0,20037
98,0,0,18811
99,0,0,18338
100,0,0,18170
101,0,0,17810
102,0,0,17634
103,0,0,17401
104,0,0,17665
105,0,0,17844
106,0,0,17735
107,0,0,17387
108,0,0,17538
109,0,0,18272
110,0,0,17436
111,0,0,17205
112,0,0,17191
113,0,0,17840
114,0,0,17594
115,0,0,17415
116,0,0,17576
117,0,0,17269
118,0,0,17440
119,0,0,17307
120,0,0,17295
121,0,0,17216
122,0,0,17276
123,0,0,17219
124,0,0,17477
125,0,0,17765
126,0,0,17227
127,0,0,17556
128,0,0,17077
129,0,0,17215
130,0,0,17140
131,0,0,16903
132,0,0,17063
133,0,0,17988
134,0,0,17200
135,0,0,17687
136,0,0,17509
137,0,0,17327
138,0,0,17414
139,0,0,18494
140,0,0,17401
141,0,0,17133
142,0,0,17185
143,0,0,17908
144,0,0,17479
145,0,0,17969
146,0,0,17838
147,0,0,17473
148,0,0,17779
149,0,0,17420
150,0,0,17112
151,0,0,17106
