Scenario,Mean_ms,Median_ms,P99_ms,P99.9_ms,Max_ms
Baseline,0.0162,0.0154,0.0313,0.1132,0.3388
Native Parser (1.0%),0.0177,0.016,0.0472,0.1476,3.3874
Native Parser (5.0%),0.0163,0.0155,0.0364,0.1354,7.5646
Native Parser (10.0%),0.0207,0.0157,0.0467,0.1583,2950.5111
Pre-filter (1.0%),0.0207,0.0168,0.0412,0.1461,2979.3112
Pre-filter (5.0%),0.0214,0.017,0.0516,0.163,2944.5239
Pre-filter (10.0%),0.016,0.0167,0.0379,0.1298,9.3936
